Bangkok      曼谷       
Buriram      武里南 
chaiyaphum   猜也蓬府 
chanthaburi  庄他武里 
Chiang Mai   清迈  
Chiang Rai   清莱 
Chonburi     春武里（万佛岁） 
Chumphon     春蓬（尖喷） 
Haad Yai     合艾 
Hua Hin      华欣 
Kamphang     甘烹碧 
Lampang      南邦 
Loei         黎  
Lopburi      华富里  
Nakhon Nayok 那空那育（坤西育）
Nakhon Pathom佛统（那坤巴统） 
Nakhon       呵叻（那空叻差是玛）  
Nakhon Sawan 那空沙旺（北榄坡）
Nong Khai    廊开  
Pattaya      帕塔亚  
Khiri Khan   伯素布哈坎 
Phichitt     坡集   
Phitsanulok  彭世洛 
Phuket       普吉（童卡） 
Phunpin      喷平  
Ranong       拉廊   
Samphran     三帕兰    
Saraburi     沙拉武里（北标） 
Song Khla    宋卡   
Suphanburi   素攀武里 
Tak          达府
Udonthani    乌隆
Trang        董里
